C-ZLFMONAT-0,C-ZLFE32-0,C-ZLFART-0,C-ZLFR63-0,F-ZLFFLUG,F-ZLFPAX,F-ZLFFRACHT,F-ZLFPOST,F-ZLFPAXEND,Jahr,Monat
200004,VIE,2,2,602,57456,211476,169,57456,2000,4
200004,VIE,2,3,0,2371,42722,100,0,2000,4
200004,GRZ,1,1,547,17876,65777,226,0,2000,4
200004,GRZ,1,2,544,18180,26923,1,18180,2000,4
200004,GRZ,1,3,0,300,2475,0,0,2000,4
200004,GRZ,2,1,89,6655,613,0,0,2000,4
200004,GRZ,2,2,92,7888,0,0,7888,2000,4
200004,GRZ,2,3,0,2055,0,0,0,2000,4
200004,INN,1,1,547,12517,26436,6961,0,2000,4
200004,INN,1,2,552,13506,21439,7242,13506,2000,4
200004,INN,1,3,0,127,0,0,0,2000,4
200004,INN,2,1,80,4317,0,0,0,2000,4
200004,INN,2,2,73,7064,0,0,7064,2000,4
200004,INN,2,3,0,257,0,0,0,2000,4
200004,KLU,1,1,269,7320,3806,0,0,2000,4
200004,KLU,1,2,271,7249,2088,7,7249,2000,4
200004,KLU,2,1,16,1088,0,0,0,2000,4
200004,KLU,2,2,15,1124,0,0,1124,2000,4
200004,KLU,2,3,0,612,0,0,0,2000,4
200004,LNZ,1,1,546,13033,17081,3029,0,2000,4
200004,LNZ,1,2,539,13612,3999,148,13612,2000,4
200004,LNZ,1,3,0,1496,10,5,0,2000,4
200004,LNZ,2,1,182,14978,61918,0,0,2000,4
200004,LNZ,2,2,190,15921,37018,0,15921,2000,4
200004,LNZ,2,3,0,1983,0,0,0,2000,4
200004,SZG,1,1,663,21398,14836,6163,0,2000,4
200004,SZG,1,2,671,22254,6806,6495,22254,2000,4
200004,SZG,1,3,0,2310,681,61,0,2000,4
200004,SZG,2,1,192,14902,0,0,0,2000,4
200004,SZG,2,2,186,20799,119,0,20799,2000,4
200004,SZG,2,3,0,3101,0,0,0,2000,4
200005,VIE,1,1,7600,473818,4961600,214646,0,2000,5
200005,VIE,1,2,7593,467314,5556822,377569,467314,2000,5
200005,VIE,1,3,0,8538,269554,13248,0,2000,5
200005,VIE,2,1,665,50307,251201,212,0,2000,5
200005,VIE,2,2,663,56251,265400,0,56251,2000,5
200005,VIE,2,3,0,4228,79245,1,0,2000,5
200005,GRZ,1,1,645,21570,69915,227,0,2000,5
