F-ZLFFLUG,F-ZLFPAX,F-ZLFFRACHT,F-ZLFPOST,F-ZLFPAXEND,Jahr,Monat
0,159,0,0,0,2000,6
275,20748,33025,0,0,2000,6
279,21970,42056,0,21970,2000,6
0,3585,0,0,0,2000,6
601,14813,21048,8391,0,2000,6
606,14394,18500,6050,14394,2000,6
0,160,0,0,0,2000,6
227,17735,0,0,0,2000,6
222,17041,0,0,17041,2000,6
0,1678,0,0,0,2000,6
392,8698,2839,0,0,2000,6
376,8087,1959,0,8087,2000,6
0,0,90,0,0,2000,6
57,3280,0,0,0,2000,6
72,3470,4,0,3470,2000,6
0,1122,0,0,0,2000,6
665,14947,16460,2566,0,2000,6
682,14278,3560,0,14278,2000,6
0,1620,245,0,0,2000,6
317,24137,99900,0,0,2000,6
298,26880,73320,0,26880,2000,6
0,2065,0,0,0,2000,6
711,22206,17036,5690,0,2000,6
712,21666,9286,5624,21666,2000,6
0,2596,175,128,0,2000,6
344,39663,0,0,0,2000,6
343,38288,164,0,38288,2000,6
0,4582,0,0,0,2000,6
7509,476557,4718833,250222,0,2000,7
7501,511264,5635047,382623,511264,2000,7
0,7533,329869,6713,0,2000,7
1066,121858,199727,224,0,2000,7
1073,133287,251729,0,133287,2000,7
0,5531,116918,163,0,2000,7
637,19913,65317,0,0,2000,7
638,21200,49464,0,21200,2000,7
0,264,432,0,0,2000,7
289,23394,41360,0,0,2000,7
288,25088,41614,0,25088,2000,7
0,3999,0,0,0,2000,7
589,13289,38927,7532,0,2000,7
596,14466,21649,8118,14466,2000,7
0,132,142,0,0,2000,7
262,19160,36,0,0,2000,7
250,20030,0,0,20030,2000,7
0,1909,0,0,0,2000,7
389,9287,2431,0,0,2000,7
378,9353,2778,0,9353,2000,7
58,3977,0,0,0,2000,7
68,3983,0,0,3983,2000,7
0,799,0,0,0,2000,7
693,13695,16029,5032,0,2000,7
705,15378,5493,0,15378,2000,7
0,2159,257,10,0,2000,7
343,30876,78941,0,0,2000,7
332,33328,43449,0,33328,2000,7
0,2478,51733,0,0,2000,7
705,23164,18510,5953,0,2000,7
711,24156,11033,6897,24156,2000,7
0,2057,281,320,0,2000,7
352,41275,73,0,0,2000,7
346,42692,880,0,42692,2000,7
0,4745,0,0,0,2000,7
7507,492730,4376782,250736,0,2000,8
7490,479928,5067648,376295,479928,2000,8
0,7697,232578,18057,0,2000,8
981,125121,203385,143,0,2000,8
1000,115445,227547,0,115445,2000,8
0,4394,111045,0,0,2000,8
615,18664,70499,0,0,2000,8
617,18710,52563,0,18710,2000,8
0,227,0,0,0,2000,8
259,23156,41948,0,0,2000,8
258,23412,43333,0,23412,2000,8
0,3298,0,0,0,2000,8
566,13545,26409,6472,0,2000,8
573,13323,21836,7751,13323,2000,8
0,66,0,0,0,2000,8
216,19294,325,0,0,2000,8
211,19312,0,0,19312,2000,8
0,1775,0,0,0,2000,8
364,8863,2172,0,0,2000,8
357,9311,2533,0,9311,2000,8
54,3883,0,0,0,2000,8
58,3944,0,0,3944,2000,8
0,759,0,0,0,2000,8
711,14449,19340,8106,0,2000,8
715,13923,4991,264,13923,2000,8
0,2175,58,0,0,2000,8
318,31194,63252,0,0,2000,8
313,30086,46918,0,30086,2000,8
0,2970,60901,0,0,2000,8
706,24585,20246,6206,0,2000,8
711,25837,6059,6564,25837,2000,8
0,1948,83,244,0,2000,8
356,44114,2305,0,0,2000,8
351,45151,220,172,45151,2000,8
0,4743,0,0,0,2000,8
7364,505372,4880702,283199,0,2000,9
7351,493114,5438836,414725,493114,2000,9
0,8882,301568,7726,0,2000,9
909,102502,296909,185,0,2000,9
921,88376,198447,0,88376,2000,9
0,4819,40875,0,0,2000,9
606,22064,69644,0,0,2000,9
609,21790,52038,0,21790,2000,9
0,175,0,0,0,2000,9
263,23465,39949,0,0,2000,9
263,19236,46133,0,19236,2000,9
0,3916,0,0,0,2000,9
608,15552,23673,8985,0,2000,9
612,15030,25797,7991,15030,2000,9
0,488,0,0,0,2000,9
202,16043,0,0,0,2000,9
201,15338,0,98,15338,2000,9
0,1834,0,0,0,2000,9
325,8609,6151,38,0,2000,9
329,8844,2633,0,8844,2000,9
59,4040,0,0,0,2000,9
57,3871,0,0,3871,2000,9
0,765,0,0,0,2000,9
613,16276,15977,4272,0,2000,9
621,15810,6675,181,15810,2000,9
0,1919,86,0,0,2000,9
296,25988,68479,0,0,2000,9
294,21110,44541,0,21110,2000,9
0,2120,93496,0,0,2000,9
706,24416,17787,8470,0,2000,9
703,23312,7927,6757,23312,2000,9
0,2681,20,890,0,2000,9
310,36140,553,0,0,2000,9
311,35165,348,0,35165,2000,9
0,3790,0,0,0,2000,9
7571,469721,5334433,291074,0,2000,10
7589,490721,5831130,461934,490721,2000,10
0,9206,364268,13219,0,2000,10
614,61589,269803,36,0,2000,10
594,47577,222252,0,47577,2000,10
0,3012,69389,42,0,2000,10
633,21486,82050,0,0,2000,10
631,22189,55220,0,22189,2000,10
0,217,0,0,0,2000,10
164,12251,47196,0,0,2000,10
168,9965,47368,0,9965,2000,10
0,2886,0,0,0,2000,10
631,15143,31292,8835,0,2000,10
629,15932,26975,7372,15932,2000,10
0,671,0,0,0,2000,10
96,7945,1046,0,0,2000,10
102,6192,1359,0,6192,2000,10
0,1216,0,0,0,2000,10
324,7919,3183,0,0,2000,10
327,8346,2247,0,8346,2000,10
34,1821,0,0,0,2000,10
31,1021,0,0,1021,2000,10
0,443,0,0,0,2000,10
599,15232,15935,4517,0,2000,10
599,15962,4733,28,15962,2000,10
0,1456,8,0,0,2000,10
211,13813,81374,0,0,2000,10
210,11265,49149,0,11265,2000,10
0,1568,96325,0,0,2000,10
703,20167,19545,7525,0,2000,10
705,21622,9938,6290,21622,2000,10
0,2522,30,334,0,2000,10
154,16001,301,0,0,2000,10
155,15630,270,0,15630,2000,10
0,3132,0,0,0,2000,10
7235,412163,4770868,329128,0,2000,11
7252,403095,5979169,515762,403095,2000,11
0,7434,317159,11825,0,2000,11
319,24484,248020,0,0,2000,11
305,21770,221199,79,21770,2000,11
0,2073,51540,1259,0,2000,11
617,20191,73816,0,0,2000,11
620,19520,69315,0,19520,2000,11
0,331,1491,0,0,2000,11
78,4149,13700,0,0,2000,11
75,3877,48243,0,3877,2000,11
0,521,0,0,0,2000,11
583,14757,24470,7915,0,2000,11
579,14646,22137,7553,14646,2000,11
0,0,0,30,0,2000,11
29,1489,0,0,0,2000,11
33,853,0,0,853,2000,11
0,377,0,0,0,2000,11
318,7512,1789,0,0,2000,11
316,7522,880,0,7522,2000,11
6,152,0,0,0,2000,11
7,157,0,0,157,2000,11
510,15338,15194,4268,0,2000,11
513,15080,3045,0,15080,2000,11
0,1162,105,0,0,2000,11
135,6361,70726,0,0,2000,11
129,5595,49539,0,5595,2000,11
0,498,94134,0,0,2000,11
577,15981,15209,6307,0,2000,11
570,15351,10314,6854,15351,2000,11
0,1608,9,0,0,2000,11
87,9339,896,0,0,2000,11
93,6722,0,0,6722,2000,11
0,1484,0,0,0,2000,11
6747,383374,4621611,330658,0,2000,12
6739,387308,5642335,716132,387308,2000,12
0,8109,290256,15622,0,2000,12
313,21177,251282,0,0,2000,12
307,22257,239535,158,22257,2000,12
0,1096,41549,98,0,2000,12
553,16376,66106,0,0,2000,12
550,16209,52843,0,16209,2000,12
0,143,0,0,0,2000,12
55,2762,30577,0,0,2000,12
58,2965,44602,0,2965,2000,12
0,669,0,0,0,2000,12
560,16137,19294,10802,0,2000,12
557,13791,19827,13217,13791,2000,12
0,18,0,0,0,2000,12
85,8568,0,0,0,2000,12
86,4016,0,0,4016,2000,12
0,193,0,0,0,2000,12
298,7349,1986,0,0,2000,12
298,6492,3181,0,6492,2000,12
9,202,0,0,0,2000,12
11,165,0,0,165,2000,12
475,12028,12713,4132,0,2000,12
472,12075,2031,0,12075,2000,12
0,1031,42149,0,0,2000,12
115,3924,84741,0,0,2000,12
120,3837,34421,0,3837,2000,12
0,339,32307,0,0,2000,12
558,16930,14749,7817,0,2000,12
552,14698,8787,11617,14698,2000,12
0,1078,31,0,0,2000,12
162,21378,2415,0,0,2000,12
167,14518,781,0,14518,2000,12
0,2196,0,0,0,2000,12
7087,356531,4232254,288403,0,2001,1
7112,363657,4345240,455870,363657,2001,1
0,7522,266582,12424,0,2001,1
273,17568,220412,0,0,2001,1
262,16942,208972,0,16942,2001,1
0,1471,25890,0,0,2001,1
596,16371,70896,0,0,2001,1
595,17046,35217,0,17046,2001,1
0,550,0,0,0,2001,1
63,2756,47567,0,0,2001,1
62,2742,52398,0,2742,2001,1
0,630,0,0,0,2001,1
586,16905,19555,8372,0,2001,1
591,18341,21686,7962,18341,2001,1
0,19,0,0,0,2001,1
203,20199,0,0,0,2001,1
197,19155,0,0,19155,2001,1
0,560,0,0,0,2001,1
326,7062,1614,0,0,2001,1
325,8126,1955,0,8126,2001,1
9,308,0,0,0,2001,1
10,330,0,0,330,2001,1
0,1,0,0,0,2001,1
507,12170,14738,3513,0,2001,1
503,12646,2562,131,12646,2001,1
0,1273,26,24,0,2001,1
119,4117,73791,0,0,2001,1
122,3351,38962,0,3351,2001,1
0,284,84859,0,0,2001,1
582,16187,16212,1912,0,2001,1
577,18080,5526,6916,18080,2001,1
0,1352,3177,0,0,2001,1
241,32251,3051,0,0,2001,1
248,32255,54,0,32255,2001,1
0,2738,0,0,0,2001,1
6478,357677,4324954,245500,0,2001,2
6484,358824,4742859,415699,358824,2001,2
0,6614,309637,14016,0,2001,2
298,21628,225689,1,0,2001,2
291,23607,139599,0,23607,2001,2
0,977,30995,1121,0,2001,2
543,17430,64139,0,0,2001,2
540,17577,39793,0,17577,2001,2
0,124,0,0,0,2001,2
74,4009,11229,0,0,2001,2
77,4586,0,0,4586,2001,2
0,591,0,0,0,2001,2
483,16874,19498,8050,0,2001,2
484,16945,20011,7656,16945,2001,2
0,62,0,0,0,2001,2
192,20484,0,0,0,2001,2
191,20128,0,0,20128,2001,2
0,359,0,0,0,2001,2
262,7772,2375,1,0,2001,2
263,7627,1630,0,7627,2001,2
0,11,0,0,0,2001,2
23,375,0,0,0,2001,2
22,363,0,0,363,2001,2
461,12547,13351,2395,0,2001,2
462,12455,2830,108,12455,2001,2
0,1182,1,0,0,2001,2
131,5239,64276,0,0,2001,2
128,5213,40907,0,5213,2001,2
0,402,76682,0,0,2001,2
513,16936,15444,1142,0,2001,2
503,17286,8290,6479,17286,2001,2
0,1386,101,0,0,2001,2
269,35761,5463,0,0,2001,2
279,36324,0,0,36324,2001,2
0,2365,0,0,0,2001,2
7297,439015,4663317,299189,0,2001,3
7303,430485,5161922,475115,430485,2001,3
0,7060,302093,9113,0,2001,3
381,31429,267407,420,0,2001,3
363,29887,203295,0,29887,2001,3
0,1113,39567,0,0,2001,3
622,20393,81285,0,0,2001,3
625,20443,47999,0,20443,2001,3
0,327,0,0,0,2001,3
95,5655,1000,0,0,2001,3
95,5244,0,0,5244,2001,3
0,989,0,0,0,2001,3
511,17523,17166,6793,0,2001,3
508,18491,28426,7741,18491,2001,3
0,19,0,0,0,2001,3
189,17899,0,0,0,2001,3
191,21184,0,0,21184,2001,3
0,398,0,0,0,2001,3
294,8131,3204,0,0,2001,3
291,8221,1890,0,8221,2001,3
17,443,0,0,0,2001,3
18,385,0,0,385,2001,3
0,254,0,0,0,2001,3
507,14654,18198,5965,0,2001,3
508,14975,1726,966,14975,2001,3
0,1232,0,0,0,2001,3
158,7069,73372,50,0,2001,3
159,7422,50142,0,7422,2001,3
0,922,95129,0,0,2001,3
565,18502,17603,785,0,2001,3
561,18877,7227,7692,18877,2001,3
0,1668,70,0,0,2001,3
268,29719,1504,0,0,2001,3
271,35724,898,0,35724,2001,3
0,3079,0,0,0,2001,3
7043,448743,4167305,308928,0,2001,4
7056,447505,4792079,445263,447505,2001,4
0,4244,126910,5989,0,2001,4
560,47016,199960,14,0,2001,4
550,53623,189146,0,53623,2001,4
